Crop,Year,Production to supply ratio (%)
All,1985,NA
Wheat (all),1985,102.3
Wheat (milling),1985,76.1
Barley,1985,140.7
Oats,1985,98.6
All,1986,NA
Wheat (all),1986,119.6
Wheat (milling),1986,63.8
Barley,1986,162
Oats,1986,96.9
All,1987,NA
Wheat (all),1987,125.2
Wheat (milling),1987,77.8
Barley,1987,144.9
Oats,1987,100.2
All,1988,NA
Wheat (all),1988,102.5
Wheat (milling),1988,65.6
Barley,1988,139.6
Oats,1988,99.5
All,1989,NA
Wheat (all),1989,120.8
Wheat (milling),1989,82.7
Barley,1989,158.1
Oats,1989,101.5
All,1990,NA
Wheat (all),1990,136.6
Wheat (milling),1990,87.6
Barley,1990,128.8
Oats,1990,99.6
All,1991,NA
Wheat (all),1991,129.6
Wheat (milling),1991,87.2
Barley,1991,130.3
Oats,1991,101.9
All,1992,NA
Wheat (all),1992,123.7
Wheat (milling),1992,83.2
Barley,1992,126.9
Oats,1992,117.6
All,1993,NA
Wheat (all),1993,120
Wheat (milling),1993,71.8
Barley,1993,115.1
Oats,1993,108.4
All,1994,NA
Wheat (all),1994,120.5
Wheat (milling),1994,77.6
Barley,1994,126.7
Oats,1994,102.6
All,1995,112.8
Wheat (all),1995,117.5
Wheat (milling),1995,86.1
Barley,1995,135
Oats,1995,153.1
All,1996,117
Wheat (all),1996,125
Wheat (milling),1996,87
Barley,1996,126
Oats,1996,128
All,1997,113
Wheat (all),1997,121
Wheat (milling),1997,84
Barley,1997,124
Oats,1997,112
All,1998,115
Wheat (all),1998,124
Wheat (milling),1998,80
Barley,1998,126
Oats,1998,108
All,1999,109
Wheat (all),1999,113
Wheat (milling),1999,83
Barley,1999,126
Oats,1999,104
All,2000,113.3
Wheat (all),2000,117.6
Wheat (milling),2000,82.1
Barley,2000,137.2
Oats,2000,118.5
All,2001,97.2
Wheat (all),2001,102.9
Wheat (milling),2001,84.5
Barley,2001,109.6
Oats,2001,118.7
All,2002,98.8
Wheat (all),2002,101.6
Wheat (milling),2002,82.7
Barley,2002,116.5
Oats,2002,120.1
All,2003,113
Wheat (all),2003,124.3
Wheat (milling),2003,84.8
Barley,2003,119.9
Oats,2003,124.2
All,2004,102.9
Wheat (all),2004,110.8
Wheat (milling),2004,85.5
Barley,2004,110.3
Oats,2004,111.2
All,2005,103.1
Wheat (all),2005,109.5
Wheat (milling),2005,81.8
Barley,2005,114.9
Oats,2005,99.1
All,2006,101.1
Wheat (all),2006,108
Wheat (milling),2006,84.5
Barley,2006,109.7
Oats,2006,97.5
All,2007,98.3
Wheat (all),2007,105.4
Wheat (milling),2007,82.7
Barley,2007,107.9
Oats,2007,97
All,2008,103.7
Wheat (all),2008,109.7
Wheat (milling),2008,80.3
Barley,2008,107.7
Oats,2008,110.3
All,2009,104.6
Wheat (all),2009,108.8
Wheat (milling),2009,80.3
Barley,2009,112.5
Oats,2009,101.8
All,2010,112.1
Wheat (all),2010,117.6
Wheat (milling),2010,84.5
Barley,2010,121.1
Oats,2010,108.6
All,2011,105.6
Wheat (all),2011,110
Wheat (milling),2011,88.1
Barley,2011,113.9
Oats,2011,98.2
All,2012,94.4
Wheat (all),2012,97.9
Wheat (milling),2012,86.2
Barley,2012,108.4
Oats,2012,92.2
All,2013,84
Wheat (all),2013,82.6
Wheat (milling),2013,68.5
Barley,2013,110.4
Oats,2013,95.2
All,2014,93.5
Wheat (all),2014,96.1
Wheat (milling),2014,82.3
Barley,2014,117.5
Oats,2014,104.2
All,2015,100.1
Wheat (all),2015,102.6
Wheat (milling),2015,84.9
Barley,2015,124.1
Oats,2015,104.3
All,2016,107.6
Wheat (all),2016,111.2
Wheat (milling),2016,87
Barley,2016,133.6
Oats,2016,100.7
All,2017,90.9
Wheat (all),2017,92.2
Wheat (milling),2017,86.6
Barley,2017,115
Oats,2017,97.1
All,2018,84.6
Wheat (all),2018,86.4
Wheat (milling),2018,81.4
Barley,2018,113
Oats,2018,99.5
All,2019,96.3
Wheat (all),2019,99.3
Wheat (milling),2019,86.7
Barley,2019,127.3
Oats,2019,107.2
All,2020,88
Wheat (all),2020,85.8
Wheat (milling),2020,80.9
Barley,2020,122.2
Oats,2020,104.2
